anon_id,programme_school_name,gender
S1b8c7ba3,School of Economics,F
S544d191f,School of Economics,F
Sdec5e9c4,School of Informatics,M
S9ecefd80,School of Informatics,M
S76396f80,School of Mathematics,F
Sbc640dac,School of Economics,F
Sf21c95f6,School of Informatics,M
S50e0c668,School of Informatics,M
Se643a0b3,School of Economics,F
S5aea4905,School of Informatics,M
Sf999e4fd,"School of Philosophy, Psychology and Language Sciences",F
S11e4ce1a,School of Informatics,F
S2d51af81,School of Economics,M
S225b4a01,School of Informatics,M
S9b26155e,School of Mathematics,F
Se24cd668,School of Informatics,M
Sfff1c718,School of Mathematics,F
S18d2362b,School of Informatics,F
Sb157d9f1,School of Mathematics,F
Scda387b1,School of Mathematics,F
Sbb1d27b4,School of Mathematics,M
S4a2e4cf5,School of Economics,F
Se8d21f6b,School of Mathematics,M
Se286f4e5,"School of Philosophy, Psychology and Language Sciences",F
S5bf1f10d,School of Economics,F
Sca6ca03b,Business School,F
S1e464662,School of Economics,M
S6db8fda2,School of Physics and Astronomy,F
Se7707c51,School of Informatics,M
S5e879be9,School of Informatics,F
S45069728,School of Economics,M
S38cbd1de,School of Economics,M
S4c242065,School of Informatics,M
S2edba0ee,"School of Philosophy, Psychology and Language Sciences",F
S49a4a8d8,School of Economics,M
Sc62c32ee,School of Mathematics,M
S8c916001,School of Geosciences,M
S5753cefd,School of Informatics,M
S3ab8be3d,School of Mathematics,F
S3e551062,School of Physics and Astronomy,M
Saa56dc22,School of Informatics,F
S8c79e232,School of Mathematics,F
S183a5f5a,School of Informatics,M
S3510f211,"School of Literatures, Languages and Cultures",M
S526ffa27,School of Informatics,M
S3f848ae7,School of Informatics,M
S438636fe,School of Informatics,M
Sbafa2752,School of Mathematics,M
S52d96956,School of Physics and Astronomy,M
Se47a0f8d,School of Mathematics,F
Sc6daa516,School of Informatics,F
Sf3715856,School of Informatics,M
Se383b264,School of Informatics,F
S01aa730d,School of Physics and Astronomy,M
S5b8c8725,School of Mathematics,M
Sed6f90d6,School of Mathematics,F
S458759ee,School of Informatics,F
Se819fa32,School of Mathematics,M
S6d9bef69,School of Mathematics,M
Sf992799e,"School of Philosophy, Psychology and Language Sciences",M
S5e641a5a,School of Informatics,M
S67db4b9b,School of Informatics,M
S3cdbebf9,School of Informatics,M
Sd12c1314,Business School,M
S1471ce0f,School of Informatics,M
S2472df18,School of Mathematics,M
Sba25f8d6,School of Physics and Astronomy,F
Sc691d7be,School of Economics,M
S172ff626,Business School,M
Sbf13e31a,School of Mathematics,M
S48ed8956,School of Informatics,F
S8846dcf9,School of Mathematics,F
Sd9c64b11,School of Informatics,M
Saf66fedf,School of Economics,M
S535af4b6,School of Informatics,M
S374db588,School of Mathematics,F
S324ddf65,School of Economics,M
S0ea6da1d,School of Mathematics,M
S95aff3dd,School of Informatics,M
S6c073e75,School of Informatics,M
S01ec4eb5,School of Informatics,M
S106d97ae,School of Mathematics,F
Sf8f2106c,School of Informatics,M
Sc1471b1a,School of Mathematics,F
Sced953b6,School of Informatics,M
S5a84fb15,School of Informatics,M
S4a36600f,School of Informatics,M
S1e286a91,School of Mathematics,M
Sa34e0c69,School of Informatics,M
Sd03a0f4e,School of Informatics,M
Sb7f9cebe,"School of Philosophy, Psychology and Language Sciences",M
S6cfbf33a,School of Mathematics,F
S4e91906e,School of Informatics,M
S6f0d4da9,School of Economics,M
S9c59ed35,School of Informatics,M
S934d1d7e,School of Economics,F
S420f8408,School of Informatics,M
Sa56c0413,School of Physics and Astronomy,M
S71b00013,School of Mathematics,M
Sd2ebbca0,School of Mathematics,M
S7d9236f1,School of Informatics,M
S63597b42,School of Informatics,M
S90bb48af,School of Mathematics,M
S298666d8,School of Mathematics,F
Sb8e78f00,Business School,F
S9f474f76,School of Mathematics,M
Sf2b22a7d,Business School,F
Sb2f315a6,School of Informatics,M
S1a9b3ece,School of Informatics,M
S0e847aa3,School of Mathematics,M
Sf9c1cc8e,"School of Philosophy, Psychology and Language Sciences",F
S3b934e25,School of Informatics,F
S48b929e1,School of Mathematics,M
S07665e96,Edinburgh College of Art,M
Sf4846d7b,School of Mathematics,F
Sc8534395,School of Mathematics,M
Se027e0d0,School of Mathematics,M
Sb179f18b,School of Physics and Astronomy,F
Se5b32711,School of Informatics,M
Sc7d94445,School of Informatics,F
S64c289de,School of Informatics,M
S02e6a38a,School of Mathematics,F
Saf1a4f23,School of Mathematics,F
S99a5a1d5,Business School,M
S4779700f,School of Mathematics,M
S7e921f9a,School of Mathematics,F
Saa043005,School of Mathematics,M
S71d2d185,School of Mathematics,M
Sa0f85d31,School of Physics and Astronomy,M
Sa604d3f8,School of Informatics,M
S0b902a93,School of Informatics,M
S72fae9a5,School of Informatics,M
S150f5974,School of Physics and Astronomy,M
Se240b5ee,School of Physics and Astronomy,M
Se332dff0,School of Informatics,M
Sb8b29dc2,Business School,M
S232f192e,School of Economics,M
Sa96d203a,School of Informatics,M
Se66cd1fe,School of Economics,M
S6c46fd28,"School of Philosophy, Psychology and Language Sciences",F
S7d59d3a8,Business School,F
S8588779e,School of Mathematics,F
S4f9f3e2d,School of Informatics,F
S287ec180,School of Economics,F
Sef3866ba,School of Mathematics,M
S31eeedd7,School of Informatics,M
Scd703bb3,School of Mathematics,F
S87e50db6,School of Informatics,M
S2a53ca80,School of Economics,M
S4dbadc72,"School of Philosophy, Psychology and Language Sciences",F
S47ae46d4,School of Mathematics,F
S3ec485e2,School of Informatics,F
Sd3ad8a94,School of Mathematics,M
Saf19a5fc,Business School,F
Sefcc370b,School of Informatics,M
Sf1fbc256,School of Mathematics,F
S190c5056,School of Mathematics,F
S9d37bfeb,School of Informatics,M
S5d6a081d,School of Informatics,M
Sbad70eb5,School of Mathematics,F
Sb21227fd,School of Economics,F
S0ec794f5,School of Informatics,M
S0e07078d,School of Physics and Astronomy,M
S4e463856,School of Informatics,F
S5fcdbbfa,School of Informatics,M
S4b062393,Edinburgh College of Art,M
Sf8a52fa5,School of Informatics,M
Sb3090116,School of Mathematics,F
Sc5637d17,School of Informatics,M
S10a42a5d,School of Informatics,M
S9fb247f0,School of Informatics,M
S2c4f2f25,School of Informatics,F
Sfda530e9,School of Mathematics,F
S0b0718c1,School of Informatics,M
Sa6b1dff7,School of Mathematics,M
S8f22e2b7,School of Physics and Astronomy,M
S1e613532,Business School,F
S605097e0,School of Informatics,F
Se5a482b2,School of Informatics,F
S3becfe44,School of Informatics,M
S2ff3ba29,School of Mathematics,F
S2039ccd1,School of Informatics,M
S74f940fc,School of Mathematics,F
Sae884e51,School of Mathematics,F
S3d5ab050,School of Informatics,M
Scb261ecb,School of Mathematics,F
S37cec8a6,"School of Philosophy, Psychology and Language Sciences",M
S556f2cce,School of Mathematics,M
Sdf274f6d,School of Informatics,F
S3df236ea,School of Physics and Astronomy,M
S2ced186a,School of Informatics,M
S78f312f4,School of Engineering,M
S8b0f34d2,School of Mathematics,M
S8a362c64,School of Informatics,F
S56fbdd28,School of Mathematics,M
S566f7004,School of Physics and Astronomy,M
Sd3f92a23,School of Economics,M
Sfe7b01d2,School of Mathematics,F
S7bf91489,School of Informatics,F
S60f2a0af,School of Physics and Astronomy,F
Sc2da2f35,School of Mathematics,M
S57aad05c,School of Economics,M
Sc337eb87,School of Mathematics,M
S98230499,"School of Philosophy, Psychology and Language Sciences",M
Sebddbf59,School of Informatics,M
Se1d73034,School of Informatics,F
Sf407fb17,School of Mathematics,F
S5913e02c,School of Informatics,M
S8d1b3828,School of Economics,M
S65b2cecb,School of Mathematics,F
S0213404e,School of Informatics,M
S8133bf3f,School of Economics,M
S5f53a723,School of Economics,M
Sb989ddde,School of Informatics,F
S4a6bee33,School of Informatics,M
Se84361a9,School of Mathematics,M
S8b0442f3,School of Mathematics,F
S8ecee1d1,School of Mathematics,F
S2c72c367,School of Informatics,M
S265a7257,"School of Philosophy, Psychology and Language Sciences",M
S9aed8e2a,School of Informatics,M
S2a9412a5,School of Informatics,M
Sf4c27b98,School of Mathematics,F
Sa59c6ac3,School of Mathematics,F
S163f66f5,School of Mathematics,F
S2580e2ee,School of Mathematics,M
Sd3d4289f,School of Informatics,M
S07082c9f,School of Informatics,M
S991520ce,School of Mathematics,F
S12eee33c,School of Informatics,F
S8e622dab,School of Economics,F
S77a8af76,School of Mathematics,F
Sacc2f291,School of Mathematics,M
S1aff63d1,School of Informatics,M
S32d5a477,School of Economics,F
S3d69d286,Business School,F
Sfd346570,"School of Philosophy, Psychology and Language Sciences",M
S77226230,School of Physics and Astronomy,M
S621a2b20,School of Physics and Astronomy,M
S91f818cd,School of Economics,F
Sa0883af3,School of Economics,M
Sd8f9df2e,School of Informatics,M
S9a4b8604,School of Informatics,M
S019673c0,School of Informatics,M
S44d726f6,School of Mathematics,F
Se858f976,School of Mathematics,M
Sd3766a71,School of Informatics,M
Sc2236f6e,School of Mathematics,M
S9ccb5273,School of Economics,F
S53c264e6,School of Biological Sciences,M
Sbba15bca,School of Informatics,M
S5c7e67b6,School of Informatics,M
S2522d5a1,School of Informatics,M
S20e22c34,School of Informatics,M
S2b0f3d5c,School of Mathematics,M
Se943aa3c,School of Informatics,F
S5f3410e3,School of Informatics,F
Sf76a4aaa,School of Mathematics,F
S7d3c3cc2,School of Informatics,M
Sdade107a,School of Biological Sciences,F
S6dd0c33b,School of Informatics,M
Sdf4b8e8c,School of Informatics,F
S63bc03d9,School of Economics,F
Sd53701e8,School of Informatics,F
Sceb60d29,School of Mathematics,M
S8ee37d8e,School of Economics,F
Scee2337d,School of Informatics,M
S380a30ca,School of Mathematics,F
Sb3f1f338,School of Informatics,M
S34689c42,School of Physics and Astronomy,M
Sc840d957,School of Informatics,M
S1c742ac5,School of Economics,M
S7b95d568,School of Informatics,F
S53a10705,School of Physics and Astronomy,M
S6a8afbe8,Business School,F
Sf483b8c5,School of Informatics,M
S70a642b3,School of Informatics,F
S64b906de,"School of Philosophy, Psychology and Language Sciences",F
Sfab045f3,School of Mathematics,F
S8cd06345,School of Informatics,F
S21b822c0,School of Informatics,F
S75e65976,School of Informatics,M
S562966e7,School of Informatics,M
Sfe374d86,"School of Philosophy, Psychology and Language Sciences",F
Sbb7618b0,School of Informatics,M
Se028dc31,School of Informatics,F
Saf292df5,School of Mathematics,M
Sfb2932a0,School of Economics,M
Sbb287c53,School of Informatics,M
Se57c8888,School of Informatics,M
Sc2dc48fe,School of Informatics,M
S9c88bc25,"School of Philosophy, Psychology and Language Sciences",F
S09b268d3,School of Economics,F
S15222e69,School of Informatics,M
S7d57c3df,School of Informatics,F
Se32880fb,Business School,M
S4e548e02,School of Informatics,M
Sda839e46,School of Informatics,M
Se80502eb,School of Informatics,M
Sbc5b795d,School of Informatics,M
S790cfef1,School of Informatics,F
Sdaebfe25,School of Informatics,F
Sd089648a,School of Informatics,M
S69b44afd,School of Economics,M
S8d3f61be,School of Informatics,M
Sd36b9565,School of Informatics,M
S1c7cb63b,School of Chemistry,M
S47deca54,School of Informatics,M
Sea287c4a,School of Economics,F
Sbbb6fe69,School of Informatics,M
S021f7d32,School of Informatics,M
S96c237c1,School of Mathematics,M
S897013ec,School of Physics and Astronomy,M
S3a4de841,School of Mathematics,M
S03266584,School of Economics,M
Sf2237fe4,School of Informatics,F
Scb967492,School of Informatics,M
S15de0864,School of Economics,M
Sc1c29f1c,School of Geosciences,M
Sa0c1fbb3,School of Mathematics,F
S599fd442,School of Mathematics,F
Sfe7df8fa,School of Informatics,M
S3e603e24,School of Informatics,M
S5df8c2fa,School of Mathematics,F
Sd6c9bd66,School of Informatics,M
S3ebecd36,School of Informatics,M
Seb5bd180,School of Economics,F
Sd56b3da1,School of Economics,F
S6982a53f,School of Mathematics,F
S4b3c1a6f,School of Informatics,M
S2c2b079b,"School of Philosophy, Psychology and Language Sciences",F
S6320ace8,School of Economics,F
S4b949cd5,School of Informatics,F
S84c3cea3,School of Informatics,M
S558157d5,School of Informatics,M
S51f854a6,School of Economics,M
S4b9f9f55,School of Physics and Astronomy,F
Sdf34d5af,School of Economics,M
S23dc03c2,"School of Philosophy, Psychology and Language Sciences",F
S269c1807,School of Informatics,M
Sbe37b100,School of Informatics,M
S7bfec137,School of Mathematics,F
Scd976e23,School of Informatics,M
S48637b71,"School of History, Classics and Archaeology",F
Saade1734,School of Geosciences,F
S13e33943,School of Economics,M
S0b722452,School of Informatics,M
S78062775,School of Chemistry,F
Sac9008ea,School of Physics and Astronomy,F
S6331b8c5,School of Social and Political Science,F
S2c3a13b6,School of Informatics,M
S37d39456,School of Economics,M
Sad5f6ce6,School of Economics,M
S9365afd1,School of Mathematics,F
S208dd14f,"School of Philosophy, Psychology and Language Sciences",M
Sb2cce9e8,School of Economics,M
Sf5565587,School of Mathematics,M
Scb44f25a,School of Mathematics,F
Sb683ee1b,School of Mathematics,F
Sbcd7eed7,School of Mathematics,M
S1a980254,"School of Philosophy, Psychology and Language Sciences",M
Sbc43365a,School of Mathematics,F
S4286eb37,School of Mathematics,M
S2f47829f,School of Physics and Astronomy,F
Se52c9192,School of Informatics,M
S78b12359,"College of Arts, Humanities and Social Sciences",F
S68c9718c,School of Geosciences,F
S55337d09,School of Mathematics,F
Sb25aa7a5,School of Mathematics,F
S0b916b8b,School of Engineering,F
S73c22ee8,School of Economics,M
S79828a1a,School of Economics,M
S3765bcec,School of Informatics,M
Sdaf00b74,School of Informatics,M
S93db1b95,School of Engineering,F
Sf72ef78e,School of Mathematics,M
S5f4c8651,School of Mathematics,M
S11746f23,School of Mathematics,F
S364a58ce,School of Mathematics,M
Sb656d0e3,School of Informatics,M
S3d8f58ed,School of Informatics,M
S81a6530b,School of Mathematics,F
S93f30ade,School of Mathematics,F
Se5932c68,School of Mathematics,F
S2aac6bdc,School of Mathematics,M
S47878864,School of Informatics,M
S897d6f88,"School of Philosophy, Psychology and Language Sciences",M
Sa64c53a0,School of Informatics,F
S8b78eb20,School of Physics and Astronomy,F
S6c6d6b32,School of Mathematics,M
S5fd8b59e,School of Mathematics,M
S3d730b41,School of Mathematics,M
S5a92f4ec,School of Mathematics,F
Sc2a7aa70,School of Informatics,F
S88329c75,School of Informatics,M
S3ecf9e4d,School of Physics and Astronomy,F
S87266c3e,School of Informatics,F
Saa8c2325,School of Economics,M
S9c33cdd3,School of Informatics,M
S02ae23d2,"School of Philosophy, Psychology and Language Sciences",M
Se03b2b7d,School of Informatics,M
Scdc55a32,School of Informatics,M
S2e95f2c5,School of Physics and Astronomy,M
Sd96cf88f,School of Informatics,M
S533a8ee7,School of Economics,F
S31ed6a86,School of Mathematics,F
S31739d1d,School of Economics,F
S9691b1a5,School of Informatics,F
S07921708,School of Mathematics,F
S6a3916e0,School of Informatics,M
S9ff377c0,School of Economics,M
S2610df04,School of Mathematics,M
S90b9e368,School of Informatics,M
S4465e768,School of Economics,M
S669173a7,School of Informatics,M
Se9871e0a,School of Physics and Astronomy,M
S4471a814,School of Informatics,M
Sd0c4f725,School of Mathematics,F
